epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.878,1.70346,1.81199,1.67163,0.68666,0.69066,0.71526,0.36026,1.69766,1.54839,1.80654,0.000332998,0.000332998,0.0670332
2,227.013,1.66915,1.53941,1.67376,0.76459,0.74065,0.81464,0.42207,1.71457,1.34657,1.81416,0.000659735,0.000659735,0.0340266
3,337.277,1.62476,1.46552,1.65611,0.75662,0.77132,0.80898,0.41065,1.67244,1.32094,1.82451,0.000979871,0.000979871,0.00101341
4,448.312,1.59105,1.39782,1.64999,0.80307,0.80469,0.84881,0.44657,1.60974,1.19209,1.72986,0.0009703,0.0009703,0.0009703
5,557.118,1.54076,1.31433,1.59978,0.84365,0.85172,0.8963,0.47757,1.6134,1.00858,1.68504,0.0009604,0.0009604,0.0009604
6,667.497,1.52319,1.26852,1.57969,0.85498,0.86086,0.9009,0.48784,1.52309,1.00811,1.63773,0.0009505,0.0009505,0.0009505
7,776.861,1.49014,1.21188,1.56196,0.84532,0.86729,0.90692,0.50401,1.54839,0.95206,1.66923,0.0009406,0.0009406,0.0009406
8,885.865,1.47787,1.16935,1.54764,0.86192,0.88216,0.9133,0.51905,1.48674,0.96914,1.62218,0.0009307,0.0009307,0.0009307
9,994.936,1.43759,1.12806,1.52105,0.86565,0.86177,0.91378,0.521,1.48731,0.93845,1.61692,0.0009208,0.0009208,0.0009208
10,1104.21,1.43631,1.10452,1.52066,0.85944,0.86359,0.91854,0.52685,1.46959,0.89465,1.60525,0.0009109,0.0009109,0.0009109
11,1213.04,1.40962,1.0858,1.50694,0.8811,0.87059,0.9237,0.54195,1.44217,0.8621,1.57852,0.000901,0.000901,0.000901
12,1322.46,1.39644,1.0641,1.49382,0.87932,0.84084,0.91549,0.54225,1.45589,0.85081,1.6035,0.0008911,0.0008911,0.0008911
13,1432.45,1.39136,1.03585,1.49398,0.8812,0.87957,0.93441,0.55755,1.43921,0.8416,1.57193,0.0008812,0.0008812,0.0008812
14,1540.83,1.37378,1.01557,1.47665,0.87992,0.8657,0.92136,0.54783,1.43243,0.82603,1.55141,0.0008713,0.0008713,0.0008713
15,1649.81,1.36123,0.99716,1.46307,0.89362,0.88348,0.93417,0.56187,1.43185,0.79239,1.58737,0.0008614,0.0008614,0.0008614
16,1758.03,1.35022,0.9996,1.46201,0.90264,0.87537,0.93575,0.56277,1.40475,0.79727,1.53965,0.0008515,0.0008515,0.0008515
17,1866.88,1.33505,0.96801,1.45179,0.91931,0.87756,0.93745,0.56603,1.41387,0.75785,1.53724,0.0008416,0.0008416,0.0008416
18,1975.39,1.33194,0.95575,1.44955,0.9204,0.8957,0.94733,0.57913,1.38376,0.74719,1.51988,0.0008317,0.0008317,0.0008317
19,2084.48,1.31552,0.94139,1.4366,0.89813,0.86863,0.93711,0.56382,1.38195,0.77776,1.51302,0.0008218,0.0008218,0.0008218
20,2192.63,1.28095,0.92881,1.41675,0.9096,0.88706,0.94692,0.58875,1.37722,0.74708,1.51568,0.0008119,0.0008119,0.0008119
21,2302.26,1.28568,0.90917,1.42543,0.91581,0.89253,0.95139,0.57759,1.395,0.74845,1.52892,0.000802,0.000802,0.000802
22,2411.57,1.27331,0.9043,1.41545,0.90945,0.90313,0.95008,0.5879,1.37049,0.70824,1.52104,0.0007921,0.0007921,0.0007921
23,2520.47,1.27139,0.89164,1.40856,0.89637,0.90108,0.94796,0.58718,1.39936,0.72685,1.5362,0.0007822,0.0007822,0.0007822
24,2630.23,1.25795,0.87308,1.40185,0.91341,0.89757,0.94247,0.5888,1.37107,0.7222,1.51438,0.0007723,0.0007723,0.0007723
25,2740.34,1.23924,0.85202,1.39004,0.91515,0.89504,0.95006,0.58421,1.40725,0.71199,1.54996,0.0007624,0.0007624,0.0007624
26,2849.67,1.24771,0.84019,1.39328,0.93482,0.89432,0.95297,0.59656,1.3622,0.70086,1.51242,0.0007525,0.0007525,0.0007525
27,2959.31,1.23606,0.84748,1.38363,0.919,0.897,0.95273,0.6018,1.36553,0.69546,1.5136,0.0007426,0.0007426,0.0007426
28,3068.67,1.22616,0.84283,1.37554,0.91918,0.90257,0.95501,0.60022,1.34568,0.70034,1.47947,0.0007327,0.0007327,0.0007327
29,3184.12,1.20761,0.8229,1.3655,0.90669,0.91314,0.95518,0.5993,1.35854,0.7063,1.51111,0.0007228,0.0007228,0.0007228
30,3295.77,1.21332,0.80954,1.36903,0.92516,0.88527,0.9485,0.59775,1.34676,0.69568,1.50639,0.0007129,0.0007129,0.0007129
31,3414.06,1.19322,0.80401,1.35595,0.92119,0.89638,0.95616,0.60476,1.34776,0.68714,1.50113,0.000703,0.000703,0.000703
32,3526.86,1.18625,0.80004,1.35397,0.9459,0.89956,0.96109,0.60617,1.35726,0.66687,1.51627,0.0006931,0.0006931,0.0006931
33,3639.93,1.18247,0.79193,1.34799,0.93888,0.90728,0.95988,0.61644,1.33847,0.65117,1.48324,0.0006832,0.0006832,0.0006832
34,3753.85,1.17286,0.78396,1.3355,0.93883,0.90318,0.96021,0.61534,1.32657,0.65604,1.47168,0.0006733,0.0006733,0.0006733
